Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-18 15:53:04,Est-106-6,PC-2,6
2026-03-18 15:53:06,Est-106-8,PC-4,7
2026-03-18 15:53:06,Est-106-9,PC-5,7
2026-03-18 15:53:06,Est-106-3,PC-1,7
2026-03-18 15:53:06,Est-106-7,PC-3,8
2026-03-18 15:53:12,Est-106-10,PC-2,8
2026-03-18 15:53:12,Est-106-11,PC-4,6
2026-03-18 15:53:13,Est-106-18,PC-3,6
2026-03-18 15:53:14,Est-106-12,PC-5,7
2026-03-18 15:53:14,Est-106-17,PC-1,8
2026-03-18 15:53:18,Est-106-22,PC-4,6
2026-03-18 15:53:19,Est-106-20,PC-2,7
2026-03-18 15:53:20,Est-106-23,PC-3,6
2026-03-18 15:53:21,Est-106-24,PC-5,7
2026-03-18 15:53:22,Est-106-25,PC-1,7
2026-03-18 15:53:28,Est-106-27,PC-2,8
2026-03-18 15:53:28,Est-106-26,PC-4,9
2026-03-18 15:53:53,Est-738-8,PC-2,5
2026-03-18 15:53:56,Est-738-19,PC-4,6
2026-03-18 15:53:56,Est-738-7,PC-1,7
2026-03-18 15:53:57,Est-738-14,PC-3,8
2026-03-18 15:53:58,Est-738-22,PC-5,8
2026-03-18 15:54:00,Est-738-25,PC-2,6
2026-03-18 15:54:03,Est-738-29,PC-4,7
2026-03-21 22:55:13,Est-345-14,PC-5,5
2026-03-21 22:55:14,Est-345-9,PC-4,6
2026-03-21 22:55:14,Est-345-4,PC-3,7
2026-03-21 22:55:14,Est-345-0,PC-1,7
2026-03-21 22:55:16,Est-345-3,PC-2,9
2026-03-21 22:55:19,Est-345-29,PC-3,5
2026-03-21 22:55:22,Est-345-24,PC-4,8
2026-03-21 22:55:22,Est-345-15,PC-5,9
