Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-18 15:53:05,Est-106-1,PC-2,7
2026-03-18 15:53:05,Est-106-4,PC-3,7
2026-03-18 15:53:06,Est-106-5,PC-4,7
2026-03-18 15:53:07,Est-106-13,PC-5,8
2026-03-18 15:53:08,Est-106-0,PC-1,9
2026-03-18 15:53:11,Est-106-15,PC-2,5
2026-03-18 15:53:55,Est-738-17,PC-5,6
2026-03-18 15:53:56,Est-738-3,PC-1,8
2026-03-18 15:53:57,Est-738-11,PC-3,8
2026-03-18 15:53:58,Est-738-6,PC-2,9
2026-03-18 15:53:58,Est-738-12,PC-4,9
2026-03-18 15:54:03,Est-738-18,PC-5,8
2026-03-18 15:54:04,Est-738-20,PC-1,7
2026-03-18 15:54:05,Est-738-21,PC-3,7
2026-03-18 15:54:06,Est-738-26,PC-4,8
2026-03-18 15:54:08,Est-738-24,PC-2,9
2026-03-18 15:54:11,Est-738-28,PC-5,7
2026-03-21 22:55:14,Est-345-5,PC-2,7
2026-03-21 22:55:15,Est-345-6,PC-3,8
2026-03-21 22:55:15,Est-345-10,PC-4,7
2026-03-21 22:55:15,Est-345-2,PC-1,8
2026-03-21 22:55:16,Est-345-11,PC-5,8
2026-03-21 22:55:20,Est-345-17,PC-3,5
2026-03-21 22:55:21,Est-345-21,PC-1,6
2026-03-21 22:55:22,Est-345-18,PC-4,7
2026-03-21 22:55:23,Est-345-12,PC-2,8
2026-03-21 22:55:23,Est-345-22,PC-5,7
2026-03-21 22:55:27,Est-345-23,PC-3,6
2026-03-21 22:55:30,Est-345-27,PC-1,9
2026-03-21 22:55:31,Est-345-28,PC-4,8
