Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-09 22:02:06,Est-216-4,PC-2,7
2026-03-09 22:02:06,Est-216-13,PC-5,6
2026-03-09 22:02:07,Est-216-1,PC-1,9
2026-03-09 22:02:08,Est-216-10,PC-4,9
2026-03-09 22:02:08,Est-216-7,PC-3,9
2026-03-09 22:08:00,Est-702-7,PC-3,5
2026-03-09 22:08:01,Est-702-1,PC-1,6
2026-03-09 22:08:02,Est-702-4,PC-2,7
2026-03-09 22:08:04,Est-702-13,PC-5,8
2026-03-09 22:08:05,Est-702-10,PC-4,9
2026-03-09 22:08:06,Est-702-16,PC-3,5
2026-03-09 22:08:09,Est-702-19,PC-1,7
2026-03-09 22:08:09,Est-702-25,PC-5,5
2026-03-09 22:08:10,Est-702-22,PC-2,8
2026-03-09 22:08:11,Est-702-28,PC-4,5
2026-03-09 22:08:12,Est-974-1,PC-3,5
2026-03-09 22:08:14,Est-974-4,PC-1,5
2026-03-09 22:08:16,Est-974-7,PC-5,6
2026-03-09 22:08:17,Est-974-10,PC-2,6
2026-03-09 22:08:17,Est-974-13,PC-4,5
2026-03-09 22:08:21,Est-974-16,PC-3,9
2026-03-09 22:08:22,Est-974-25,PC-2,5
2026-03-09 22:08:24,Est-974-28,PC-4,6
2026-03-09 22:08:24,Est-974-19,PC-1,9
2026-03-09 22:08:24,Est-974-22,PC-5,8
2026-03-09 22:33:11,Est-845-7,PC-3,6
2026-03-09 22:33:11,Est-845-13,PC-5,6
2026-03-09 22:33:12,Est-845-1,PC-1,8
2026-03-09 22:33:13,Est-845-4,PC-2,9
2026-03-09 22:33:13,Est-845-10,PC-4,8
2026-03-09 22:33:17,Est-845-16,PC-3,6
2026-03-09 22:33:18,Est-845-19,PC-5,7
2026-03-09 22:33:19,Est-845-22,PC-1,7
2026-03-09 22:33:22,Est-845-25,PC-2,9
2026-03-09 22:33:22,Est-845-28,PC-4,9
2026-03-11 19:22:47,Est-142-10,PC-4,6
2026-03-11 19:22:47,Est-142-1,PC-1,7
2026-03-11 19:22:50,Est-142-13,PC-5,8
2026-03-11 19:22:50,Est-142-7,PC-3,9
2026-03-11 19:22:50,Est-142-4,PC-2,9
2026-03-11 19:22:54,Est-142-19,PC-1,7
2026-03-11 19:22:55,Est-142-25,PC-3,5
2026-03-11 19:22:56,Est-142-16,PC-4,8
2026-03-11 19:22:56,Est-142-28,PC-2,6
2026-03-11 19:22:59,Est-142-22,PC-5,9
2026-03-11 19:23:02,Est-435-7,PC-4,6
2026-03-11 19:23:03,Est-435-10,PC-2,6
2026-03-11 19:23:04,Est-435-1,PC-1,9
2026-03-11 19:23:05,Est-435-4,PC-3,9
2026-03-11 19:23:07,Est-435-13,PC-5,7
2026-03-11 19:23:09,Est-435-16,PC-4,6
2026-03-11 19:23:11,Est-435-25,PC-3,6
2026-03-11 19:23:11,Est-435-19,PC-2,8
2026-03-11 19:23:13,Est-435-22,PC-1,8
2026-03-11 19:23:13,Est-435-28,PC-5,6
