Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-09 22:02:04,Est-216-2,PC-1,5
2026-03-09 22:02:04,Est-216-5,PC-2,6
2026-03-09 22:02:05,Est-216-14,PC-5,5
2026-03-09 22:02:06,Est-216-8,PC-3,7
2026-03-09 22:02:07,Est-216-11,PC-4,8
2026-03-09 22:08:00,Est-702-5,PC-2,5
2026-03-09 22:08:00,Est-702-2,PC-1,5
2026-03-09 22:08:03,Est-702-11,PC-4,7
2026-03-09 22:08:05,Est-702-14,PC-5,9
2026-03-09 22:08:05,Est-702-8,PC-3,9
2026-03-09 22:08:07,Est-702-20,PC-1,6
2026-03-09 22:08:09,Est-702-23,PC-4,6
2026-03-09 22:08:10,Est-702-17,PC-2,9
2026-03-09 22:08:11,Est-702-29,PC-3,6
2026-03-09 22:08:13,Est-974-2,PC-1,5
2026-03-09 22:08:13,Est-702-26,PC-5,8
2026-03-09 22:08:17,Est-974-11,PC-3,5
2026-03-09 22:08:19,Est-974-5,PC-4,9
2026-03-09 22:08:20,Est-974-8,PC-2,9
2026-03-09 22:08:20,Est-974-14,PC-1,6
2026-03-09 22:08:21,Est-974-17,PC-5,7
2026-03-09 22:08:25,Est-974-20,PC-3,7
2026-03-09 22:08:25,Est-974-29,PC-1,5
2026-03-09 22:08:26,Est-974-26,PC-2,6
2026-03-09 22:08:29,Est-974-23,PC-4,9
2026-03-09 22:33:10,Est-845-11,PC-4,5
2026-03-09 22:33:10,Est-845-2,PC-1,6
2026-03-09 22:33:13,Est-845-8,PC-3,8
2026-03-09 22:33:13,Est-845-5,PC-2,9
2026-03-09 22:33:14,Est-845-14,PC-5,8
2026-03-09 22:33:16,Est-845-17,PC-4,6
2026-03-09 22:33:16,Est-845-20,PC-1,6
2026-03-09 22:33:19,Est-845-23,PC-3,5
2026-03-09 22:33:20,Est-845-26,PC-2,6
2026-03-09 22:33:24,Est-845-29,PC-5,9
2026-03-11 19:22:45,Est-142-5,PC-2,5
2026-03-11 19:22:47,Est-142-14,PC-5,6
2026-03-11 19:22:48,Est-142-8,PC-3,7
2026-03-11 19:22:50,Est-142-2,PC-1,9
2026-03-11 19:22:50,Est-142-11,PC-4,9
2026-03-11 19:22:52,Est-142-17,PC-2,6
2026-03-11 19:22:54,Est-142-23,PC-3,6
2026-03-11 19:22:56,Est-142-29,PC-4,5
2026-03-11 19:22:56,Est-142-26,PC-1,6
2026-03-11 19:22:56,Est-142-20,PC-5,9
2026-03-11 19:22:59,Est-435-2,PC-2,6
2026-03-11 19:23:02,Est-435-8,PC-4,6
2026-03-11 19:23:02,Est-435-5,PC-3,7
2026-03-11 19:23:04,Est-435-11,PC-1,8
2026-03-11 19:23:04,Est-435-17,PC-2,5
2026-03-11 19:23:05,Est-435-14,PC-5,8
2026-03-11 19:23:08,Est-435-20,PC-4,5
2026-03-11 19:23:08,Est-435-23,PC-3,5
2026-03-11 19:23:11,Est-435-29,PC-2,6
2026-03-11 19:23:13,Est-435-26,PC-1,8
