Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-09 22:02:04,Est-216-6,PC-3,6
2026-03-09 22:02:06,Est-216-3,PC-2,7
2026-03-09 22:02:07,Est-216-0,PC-1,8
2026-03-09 22:02:08,Est-216-9,PC-4,9
2026-03-09 22:02:09,Est-216-12,PC-5,9
2026-03-09 22:08:01,Est-702-3,PC-2,6
2026-03-09 22:08:02,Est-702-6,PC-3,6
2026-03-09 22:08:02,Est-702-9,PC-4,6
2026-03-09 22:08:04,Est-702-0,PC-1,9
2026-03-09 22:08:05,Est-702-12,PC-5,9
2026-03-09 22:08:09,Est-702-15,PC-2,8
2026-03-09 22:08:10,Est-702-21,PC-4,7
2026-03-09 22:08:10,Est-702-24,PC-1,5
2026-03-09 22:08:11,Est-702-18,PC-3,9
2026-03-09 22:08:13,Est-702-27,PC-5,8
2026-03-09 22:08:15,Est-974-6,PC-1,5
2026-03-09 22:08:16,Est-974-3,PC-4,5
2026-03-09 22:08:16,Est-974-0,PC-2,7
2026-03-09 22:08:19,Est-974-12,PC-5,5
2026-03-09 22:08:21,Est-974-9,PC-3,9
2026-03-09 22:08:22,Est-974-21,PC-2,5
2026-03-09 22:08:23,Est-974-15,PC-1,7
2026-03-09 22:08:23,Est-974-18,PC-4,7
2026-03-09 22:08:24,Est-974-24,PC-5,5
2026-03-09 22:08:28,Est-974-27,PC-3,7
2026-03-09 22:33:10,Est-845-3,PC-2,5
2026-03-09 22:33:10,Est-845-0,PC-1,7
2026-03-09 22:33:13,Est-845-6,PC-3,9
2026-03-09 22:33:14,Est-845-12,PC-5,9
2026-03-09 22:33:14,Est-845-9,PC-4,9
2026-03-09 22:33:16,Est-845-18,PC-1,5
2026-03-09 22:33:17,Est-845-15,PC-2,7
2026-03-09 22:33:19,Est-845-24,PC-5,5
2026-03-09 22:33:22,Est-845-21,PC-3,8
2026-03-09 22:33:24,Est-845-27,PC-4,9
2026-03-11 19:22:45,Est-142-0,PC-1,5
2026-03-11 19:22:46,Est-142-6,PC-3,5
2026-03-11 19:22:48,Est-142-3,PC-2,7
2026-03-11 19:22:49,Est-142-9,PC-4,8
2026-03-11 19:22:49,Est-142-12,PC-5,8
2026-03-11 19:22:51,Est-142-15,PC-1,6
2026-03-11 19:22:52,Est-142-18,PC-3,6
2026-03-11 19:22:56,Est-142-21,PC-2,8
2026-03-11 19:22:57,Est-142-27,PC-5,8
2026-03-11 19:22:58,Est-142-24,PC-4,8
2026-03-11 19:22:58,Est-435-3,PC-3,5
2026-03-11 19:22:58,Est-435-0,PC-1,6
2026-03-11 19:23:04,Est-435-18,PC-1,5
2026-03-11 19:23:04,Est-435-12,PC-4,6
2026-03-11 19:23:04,Est-435-9,PC-5,6
2026-03-11 19:23:05,Est-435-6,PC-2,8
2026-03-11 19:23:06,Est-435-15,PC-3,8
2026-03-11 19:23:12,Est-435-24,PC-4,7
2026-03-11 19:23:13,Est-435-21,PC-1,8
2026-03-11 19:23:14,Est-435-27,PC-5,9
