Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-08 19:50:02,Est-321-2,PC-1,5
2026-03-08 19:50:04,Est-321-8,PC-4,6
2026-03-08 19:50:04,Est-321-4,PC-2,7
2026-03-08 19:50:05,Est-321-10,PC-5,7
2026-03-08 19:50:05,Est-321-5,PC-3,8
2026-03-08 19:50:10,Est-321-18,PC-2,5
2026-03-08 19:50:10,Est-321-17,PC-4,6
2026-03-08 19:50:10,Est-321-22,PC-5,5
2026-03-08 19:50:12,Est-321-13,PC-1,9
2026-03-08 19:50:14,Est-321-23,PC-3,8
2026-03-08 19:50:18,Est-390-0,PC-5,8
2026-03-08 19:50:19,Est-321-26,PC-4,8
2026-03-08 19:50:19,Est-321-25,PC-2,9
2026-03-08 19:50:20,Est-390-4,PC-1,8
2026-03-08 19:50:21,Est-390-7,PC-3,7
2026-03-08 19:50:25,Est-390-8,PC-5,6
2026-03-08 19:50:26,Est-390-10,PC-4,7
2026-03-08 19:50:27,Est-390-15,PC-1,7
2026-03-08 19:50:27,Est-390-14,PC-2,8
2026-03-08 19:50:29,Est-390-16,PC-3,7
2026-03-08 19:50:35,Est-390-19,PC-5,9
2026-03-08 19:50:35,Est-390-21,PC-4,9
2026-03-08 19:50:36,Est-390-27,PC-2,8
2026-03-08 19:50:36,Est-390-23,PC-1,8
2026-03-08 19:57:13,Est-228-6,PC-2,6
2026-03-08 19:57:13,Est-228-1,PC-1,7
2026-03-08 19:57:14,Est-228-7,PC-3,6
2026-03-08 19:57:14,Est-228-13,PC-5,5
2026-03-08 19:57:14,Est-228-9,PC-4,7
2026-03-08 19:57:19,Est-228-25,PC-1,5
2026-03-08 19:57:19,Est-228-26,PC-3,5
2026-03-08 19:57:21,Est-228-15,PC-2,7
2026-03-08 19:57:22,Est-228-28,PC-5,8
