Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-08 19:50:02,Est-321-0,PC-1,5
2026-03-08 19:50:03,Est-321-12,PC-5,5
2026-03-08 19:50:05,Est-321-6,PC-2,8
2026-03-08 19:50:07,Est-321-9,PC-4,9
2026-03-08 19:50:07,Est-321-7,PC-3,9
2026-03-08 19:50:07,Est-321-19,PC-1,5
2026-03-08 19:50:09,Est-321-24,PC-5,5
2026-03-08 19:50:12,Est-321-27,PC-2,6
2026-03-08 19:50:13,Est-321-29,PC-3,5
2026-03-08 19:50:14,Est-390-3,PC-1,6
2026-03-08 19:50:14,Est-321-28,PC-4,7
2026-03-08 19:50:15,Est-390-5,PC-5,6
2026-03-08 19:50:21,Est-390-6,PC-2,9
2026-03-08 19:50:21,Est-390-22,PC-4,6
2026-03-08 19:50:22,Est-390-18,PC-3,9
2026-03-08 19:50:23,Est-390-20,PC-1,9
2026-03-08 19:50:24,Est-390-25,PC-5,8
2026-03-08 19:50:29,Est-390-29,PC-2,8
2026-03-08 19:57:12,Est-228-3,PC-1,5
2026-03-08 19:57:14,Est-228-11,PC-4,6
2026-03-08 19:57:15,Est-228-4,PC-2,8
2026-03-08 19:57:15,Est-228-8,PC-3,7
2026-03-08 19:57:16,Est-228-14,PC-5,8
2026-03-08 19:57:20,Est-228-18,PC-4,5
2026-03-08 19:57:21,Est-228-16,PC-1,9
2026-03-08 19:57:21,Est-228-21,PC-2,6
2026-03-08 19:57:23,Est-228-22,PC-3,8
2026-03-08 19:57:25,Est-228-23,PC-5,9
2026-03-08 19:57:27,Est-228-27,PC-4,6
2026-03-08 19:57:28,Est-228-29,PC-1,7
